Keywords - Split 1,Keywords - Split 2,Keywords - Split 3,Keywords - Split 4,Keywords - Split 5,Keywords - Split 6,Keywords - Split 7,Keywords - Split 8,Keywords - Split 9,Keywords - Split 10,Keywords - Split 11,Keywords - Split 12,Keywords - Split 13,Keywords - Split 14,Keywords - Split 15,Keywords - Split 16,Keywords - Split 17,Keywords - Split 18,Keywords - Split 19,Keywords - Split 20,Keywords - Split 21,Keywords - Split 22,Keywords - Split 23,Keywords - Split 24,Keywords - Split 25,Keywords - Split 26,Keywords - Split 27,Keywords - Split 28,Keywords - Split 29,Keywords - Split 30,Keywords - Split 31,Keywords - Split 32,Keywords - Split 33,Keywords - Split 34,Keywords - Split 35,Keywords - Split 36,Keywords - Split 37,Keywords - Split 38,Keywords - Split 39,Keywords - Split 40,Keywords - Split 41,Keywords - Split 42,Keywords - Split 43,Keywords - Split 44,Keywords - Split 45,Keywords - Split 46,Keywords - Split 47,Keywords - Split 48,Keywords - Split 49,Keywords - Split 50,Keywords - Split 51,Keywords - Split 52,Keywords - Split 53,Keywords - Split 54,Keywords - Split 55,Keywords - Split 56,Keywords - Split 57,Keywords - Split 58,Keywords - Split 59,Keywords - Split 60,Keywords - Split 61,Keywords - Split 62,Keywords - Split 63,Keywords - Split 64,Keywords - Split 65,Keywords - Split 66,Keywords - Split 67,Keywords - Split 68,Keywords - Split 69,Keywords - Split 70,Keywords - Split 71,Keywords - Split 72,Keywords - Split 73,Keywords - Split 74,Keywords - Split 75,Keywords - Split 76,Keywords - Split 77,Keywords - Split 78,Keywords - Split 79,Keywords - Split 80,Keywords - Split 81,Keywords - Split 82,Keywords - Split 83,Committee Name (i.e. Plenary),Vote Note,Agenda Information,Agenda short form title,Date of Action,Doc. History,ID,Plenary,Resolution Code,Title Statement
SPECIAL MISSIONS,SPECIAL ACCOUNTS,APPROPRIATIONS,EAST TIMOR QUESTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 95TH MEETING",FINANCING OF THE UNITED NATIONS MISSION IN EAST TIMOR.,UN MISSION IN EAST TIMOR--FINANCING,4/7/2000,A/54/505/Add.1,411599,PLENARY MEETING,A/RES/54/20B,FINANCING OF THE UNITED NATIONS MISSION IN EAST TIMOR :
PEACEKEEPING OPERATIONS,SPECIAL ACCOUNTS,EXTRABUDGETARY FINANCING,STAFF SECURITY,STAFFING,COSTS,GENERAL SERVICE STAFF,EQUIPMENT AND SUPPLIES,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,EAST TIMOR QUESTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 95TH MEETING",FINANCING OF THE UNITED NATIONS TRANSITIONAL ADMINISTRATION IN EAST TIMOR.,UN TRANSITIONAL ADMINISTRATION IN EAST TIMOR--FINANCING,4/7/2000,A/54/687/Add.1,411604,PLENARY MEETING,A/RES/54/246B,FINANCING OF THE UNITED NATIONS TRANSITIONAL ADMINISTRATION IN EAST TIMOR :
COMMON SERVICES,COST EFFECTIVENESS,DUTY STATIONS,INTERNAL OVERSIGHT,COORDINATION WITHIN UN SYSTEM,REPORT PREPARATION,ADMINISTRATIVE REFORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 95TH MEETING",REVIEW OF THE EFFICIENCY OF THE ADMINISTRATIVE AND FINANCIAL FUNCTIONING OF THE UNITED NATIONS.,UN--ADMINISTRATION,4/7/2000,A/54/511/Add.2,411606,PLENARY MEETING,A/RES/54/255,REPORTS OF THE JIU :
OUTSOURCING,GUIDELINES,PROGRAMME MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 95TH MEETING",REVIEW OF THE EFFICIENCY OF THE ADMINISTRATIVE AND FINANCIAL FUNCTIONING OF THE UNITED NATIONS.,UN--ADMINISTRATION,4/7/2000,A/54/511/Add.2,411609,PLENARY MEETING,A/RES/54/256,OUTSCOURCING PRACTICES IN THE UN :
INTERNAL OVERSIGHT,INTERNAL INVESTIGATIONS,ADMINISTRATIVE REFORM,PROGRAMME MANAGEMENT,REPORT PREPARATION,RULES AND REGULATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 95TH MEETING",REVIEW OF THE EFFICIENCY OF THE ADMINISTRATIVE AND FINANCIAL FUNCTIONING OF THE UNITED NATIONS.,UN--ADMINISTRATION,4/7/2000,A/54/511/Add.2,411611,PLENARY MEETING,A/RES/54/257,REPORTS OF THE OIOS :
PUBLICATIONS,OFFICIAL LANGUAGES,COST EFFECTIVENESS,DOCUMENTS DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 95TH MEETING",PATTERN OF CONFERENCES.,UN--CALENDAR OF MEETINGS (1999-2000),4/7/2000,A/54/690/Add.1,411615,PLENARY MEETING,A/RES/54/259,UN PUBLICATIONS: ENHANCING COST-EFFECTIVENESS IN IMPLEMENTING LEGISLATIVE MANDATES :
SPECIAL MISSIONS,PEACEKEEPING OPERATIONS,REIMBURSEMENT,COSTS,EQUIPMENT AND SUPPLIES,ADMINISTRATION,RECRUITMENT,GENERAL SERVICE STAFF,STAFFING,TROOP-CONTRIBUTING STATES,SPECIAL ACCOUNTS,STAFF SECURITY,DEMOCRATIC REPUBLIC OF THE CONGO SITUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 95TH MEETING",FINANCING OF THE UNITED NATIONS ORGANIZATION MISSION IN THE DEMOCRATIC REPUBLIC OF THE CONGO.,UN ORGANIZATION MISSION IN THE DEMOCRATIC REPUBLIC OF THE CONGO--FINANCING,4/7/2000,A/54/830,411616,PLENARY MEETING,A/RES/54/260A,FINANCING OF THE UN ORGANIZATION MISSION IN THE DEMOCRATIC REPUBLIC OF THE CONGO :
PEACEKEEPING OPERATIONS,MILITARY PERSONNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS ORGANIZATION MISSION IN THE DEMOCRATIC REPUBLIC OF THE CONGO.,UN ORGANIZATION MISSION IN THE DEMOCRATIC REPUBLIC OF THE CONGO--FINANCING,6/15/2000,A/54/830/Add.1,418234,PLENARY MEETING,A/RES/54/260B,FINANCING OF THE UN ORGANIZATION MISSION IN THE DEMOCRATIC REPUBLIC OF THE CONGO :
GRATIS PERSONNEL,PERSONNEL MANAGEMENT,RECRUITMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",REVIEW OF THE EFFICIENCY OF THE ADMINISTRATIVE AND FINANCIAL FUNCTIONING OF THE UNITED NATIONS.; HUMAN RESOURCES MANAGEMENT.,UN--ADMINISTRATION; UN--HUMAN RESOURCES MANAGEMENT,6/15/2000,A/54/827/Add.1,418274,PLENARY MEETING,A/RES/54/264,GRATIS PERSONNEL PROVIDED BY GOVERNMENTS :
NON-GOVERNMENTAL ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",PROPOSED PROGRAMME BUDGET FOR THE BIENNIUM 2000-2001.,UN--BUDGET (2000-2001),6/15/2000,A/54/691/Add.2,418369,PLENARY MEETING,A/RES/54/265,ANALYSIS OF THE ORGANIZATIONAL STRUCTURE AND THE PERSONNEL AND TECHNICAL RESOURCES OF THE NON-GOVERNMENTAL ORGANIZATIONS SECTION OF THE UN SECRETARIAT :
PEACEKEEPING OPERATIONS,WORKING CONDITIONS,COSTS,APPROPRIATIONS,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,ADMINISTRATION,GENERAL SERVICE STAFF,SPECIAL ACCOUNTS,STAFF SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",UNITED NATIONS DISENGAGEMENT OBSERVER FORCE.,UN DISENGAGEMENT OBSERVER FORCE--FINANCING,6/15/2000,A/54/896,418371,PLENARY MEETING,A/RES/54/266,FINANCING OF THE UN DISENGAGEMENT OBSERVER FORCE :
SPECIAL MISSIONS,ELECTION VERIFICATION,COSTS,APPROPRIATIONS,SPECIAL ACCOUNTS,REIMBURSEMENT,EQUIPMENT AND SUPPLIES,ADMINISTRATION,GENERAL SERVICE STAFF,STAFF SECURITY,WESTERN SAHARA QUESTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS MISSION FOR THE REFERENDUM IN WESTERN SAHARA.,UN MISSION FOR THE REFERENDUM IN WESTERN SAHARA--FINANCING,6/15/2000,A/54/899,418380,PLENARY MEETING,A/RES/54/268,FINANCING OF THE UN MISSION FOR THE REFERENDUM IN WESTERN SAHARA :
PEACEKEEPING OPERATIONS,COSTS,REIMBURSEMENT,FORMER YUGOSLAVIA SITUATION,DISSOLUTION,APPROPRIATIONS,EQUIPMENT AND SUPPLIES,FINANCIAL REGULATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING","FINANCING OF THE UNITED NATIONS PROTECTION FORCE, THE UNITED NATIONS CONFIDENCE RESTORATION OPERATION IN CROATIA, THE UNITED NATIONS PREVENTIVE DEPLOYMENT FORCE AND THE UNITED NATIONS PEACE FORCES HEADQUARTERS.",UN PEACEKEEPING FORCES IN FORMER YUGOSLAVIA--FINANCING,6/15/2000,A/54/900,418381,PLENARY MEETING,A/RES/54/269,"FINANCING OF THE UN PROTECTION FORCE, THE UN CONFIDENCE RESTORATION OPERATION IN CROATIA, THE UN PREVENTIVE DEPLOYMENT FORCE AND THE UN PEACE FORCES HEADQUARTERS :"
PEACEKEEPING OPERATIONS,COSTS,APPROPRIATIONS,SPECIAL ACCOUNTS,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,EQUIPMENT AND SUPPLIES,ADMINISTRATION,RECRUITMENT,GENERAL SERVICE STAFF,STAFF SECURITY,CYPRUS QUESTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS PEACEKEEPING FORCE IN CYPRUS.,UN PEACEKEEPING FORCE IN CYPRUS--FINANCING,6/15/2000,A/54/901,418382,PLENARY MEETING,A/RES/54/270,FINANCING OF THE UN PEACEKEEPING FORCE IN CYPRUS :
PEACEKEEPING OPERATIONS,COSTS,APPROPRIATIONS,SPECIAL ACCOUNTS,REIMBURSEMENT,EQUIPMENT AND SUPPLIES,ADMINISTRATION,RECRUITMENT,GENERAL SERVICE STAFF,STAFF SECURITY,GEORGIA SITUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS OBSERVER MISSION IN GEORGIA.,UN OBSERVER MISSION IN GEORGIA--FINANCING,6/15/2000,A/54/902,418383,PLENARY MEETING,A/RES/54/271,FINANCING OF THE UN OBSERVER MISSION IN GEORGIA :
PEACEKEEPING OPERATIONS,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,STAFF SECURITY,TAJIKISTAN SITUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS MISSION OF OBSERVERS IN TAJIKISTAN.,UN MISSION OF OBSERVERS IN TAJIKISTAN--FINANCING,6/15/2000,A/54/903,418384,PLENARY MEETING,A/RES/54/272,FINANCING OF THE UN MISSION OF OBSERVERS IN TAJIKISTAN :
PEACEKEEPING OPERATIONS,CROATIA SITUATION,POLICE,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING","FINANCING OF THE UNITED NATIONS TRANSITIONAL ADMINISTRATION FOR EASTERN SLAVONIA, BARANJA AND WESTERN SIRMIUM AND THE CIVILIAN POLICE SUPPORT GROUP.","UN TRANSITIONAL ADMINISTRATION FOR EASTERN SLAVONIA, BARANJA AND WESTERN SIRMIUM--FINANCING",6/15/2000,A/54/905,418386,PLENARY MEETING,A/RES/54/274,FINANCING OF THE CIVILIAN POLICE SUPPORT GROUP :
PEACEKEEPING OPERATIONS,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS PREVENTIVE DEPLOYMENT FORCE.,UN PREVENTIVE DEPLOYMENT FORCE--FINANCING,6/15/2000,A/54/906,418415,PLENARY MEETING,A/RES/54/275,FINANCING OF THE UN PREVENTIVE DEPLOYMENT FORCE :
PEACEKEEPING OPERATIONS,POLICE,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING","FINANCING OF THE UNITED NATIONS SUPPORT MISSION IN HAITI, THE UNITED NATIONS TRANSITION MISSION IN HAITI AND THE UNITED NATIONS CIVILIAN POLICE MISSION IN HAITI.",UN PEACEKEEPING OPERATIONS IN HAITI--FINANCING,6/15/2000,A/54/907,418417,PLENARY MEETING,A/RES/54/276,FINANCING OF THE UN CIVILIAN POLICE MISSION IN HAITI :
PEACEKEEPING OPERATIONS,DISSOLUTION,APPROPRIATIONS,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS MISSION IN THE CENTRAL AFRICAN REPUBLIC.,UN MISSION IN THE CENTRAL AFRICAN REPUBLIC--FINANCING,6/15/2000,A/54/908,418418,PLENARY MEETING,A/RES/54/277,FINANCING OF THE UN MISSION IN THE CENTRAL AFRICAN REPUBLIC :
LOGISTICS,PEACEKEEPING OPERATIONS,STAFFING,INVENTORIES,COSTS,COST-BENEFIT ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",ADMINISTRATIVE AND BUDGETARY ASPECTS OF THE FINANCING OF THE UNITED NATIONS PEACEKEEPING OPERATIONS.; FINANCING OF THE UNITED NATIONS PEACEKEEPING OPERATIONS.; RELOCATION OF SOUTH AFRICA TO THE GROUP OF MEMBER STATES SET OUT IN PARAGRAPH 3 (C) OF GENERAL ASSEMBLY RESOLUTION 43/232.,PEACEKEEPING OPERATIONS--FINANCING; SOUTH AFRICA--PEACEKEEPING OPERATIONS--BUDGET CONTRIBUTIONS,6/15/2000,A/54/684/Add.2,418419,PLENARY MEETING,A/RES/54/278,"FINANCING OF THE UN LOGISTICAS BASE AT BRINDISI, ITALY :"
AUDITING,FINANCIAL STATEMENTS,PEACEKEEPING OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING","FINANCIAL REPORTS AND AUDITED FINANCIAL STATEMENTS, AND REPORTS OF THE BOARD OF AUDITORS.",UN--ACCOUNTS (1998),6/15/2000,A/54/506/Add.2,422005,PLENARY MEETING,A/RES/54/13C,"FINANCIAL REPORTS AND AUDITED FINANCIAL STATEMENTS, AND REPORTS OF THE BOARD OF AUDITORS :"
PEACEKEEPING OPERATIONS,DISSOLUTION,APPROPRIATIONS,SPECIAL ACCOUNTS,TROOP-CONTRIBUTING STATES,PURCHASING,REIMBURSEMENT,ADMINISTRATION,EQUIPMENT AND SUPPLIES,ANGOLA SITUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS ANGOLA VERIFICATION MISSION AND THE UNITED NATIONS OBSERVER MISSION IN ANGOLA.,UN ANGOLA VERIFICATION MISSION--FINANCING; UN OBSERVER MISSION IN ANGOLA--FINANCING,6/15/2000,A/54/504/Add.1,422007,PLENARY MEETING,A/RES/54/17B,FINANCING OF THE UNITED NATIONS ANGOLA VERIFICATION MISSION AND THE UNITED NATIONS OBSERVER MISSION IN ANGOLA :
PEACEKEEPING OPERATIONS,COSTS,SPECIAL ACCOUNTS,APPROPRIATIONS,MISSION ALLOWANCE,IRAQ-KUWAIT SITUATION,REIMBURSEMENT,TROOP-CONTRIBUTING STATES,ADMINISTRATION,GENERAL SERVICE STAFF,STAFF SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",UNITED NATIONS IRAQ-KUWAIT OBSERVATION MISSION.,UN IRAQ-KUWAIT OBSERVATION MISSION--FINANCING,6/15/2000,A/54/510/Add.1,422009,PLENARY MEETING,A/RES/54/18B,FINANCING OF THE UNITED NATIONS IRAQ-KUWAIT OBSERVATION MISSION :
REIMBURSEMENT,EQUIPMENT AND SUPPLIES,TROOP-CONTRIBUTING STATES,DATA COLLECTION,CONFERENCE FACILITIES,HEALTH SERVICES,VACCINATION,MEDICAL EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,"ADOPTED WITHOUT VOTE, 98TH MEETING",FINANCING OF THE UNITED NATIONS PEACEKEEPING OPERATIONS.,PEACEKEEPING OPERATIONS--FINANCING,6/15/2000,A/54/684/Add.2,422010,PLENARY MEETING,A/RES/54/19B,REFORMED PROCEDURES FOR DETERMINING REIMBURSEMENT TO MEMBER STATES FOR CONTINGENT-OWNED EQUIPMENT :
